date,account_id,posted_at,post_url,product_code,product_name,actress,genre,template_type,variant,experiment_id,post_text,normal_price,sale_price,deadline,reward_type,affiliate_url,impressions,clicks,conversions,revenue_yen,ctr_percent,cvr_percent,notes
2026-06-13,sale_flash,,,sivr00252,ゲリラ豪雨で濡れ透ける女上司,小宵こなん,VR,単品VRセール型,sold_shape_manual,,"【VRセール情報】
小宵こなんさんの人気VR『ゲリラ豪雨で濡れ透ける女上司』
今なら30%OFFの大特価！
通常版：780円 ➔ 546円",780,546,本日まで,direct,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dsivr00252&af_id=hirohirohota-990&ch=api,127,5,,,3.94,,"14h analytics; engagements=12; detail_expands=3; profile_visits=4; likes=0; reposts=0; replies=0; initial_judgment=strong"
2026-06-13,sale_flash,,,13dsvr00817,年下彼女と甘えキス聖夜VR,宮島めい,VR,単品VRセール型,sold_shape_manual,,"#PR【VRセール情報】
宮島めいさんの人気VR『年下彼女と甘えキス聖夜VR』
今なら30%OFFの大特価！
通常版：980円 ➔ 686円",980,686,6/16まで,direct,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D13dsvr00817&af_id=hirohirohota-990&ch=api,63,0,,,0.00,,"14h analytics; engagements=1; detail_expands=0; profile_visits=0; likes=0; reposts=0; replies=0; initial_judgment=weak; possible_issue=PR_at_start"
